Date,AAPL,MSFT,GOOGL,AMZN,NVDA,AMD,INTC,QCOM,META,ADBE,HD,TGT,COST,LOW,NKE,MCD,SBUX,TJX,ROST
2021-07-01,134.65907287597656,263.7456970214844,122.14205932617188,171.64849853515625,20.17380142211914,93.30999755859375,51.255558013916016,131.21531677246094,353.3262023925781,584.72998046875,296.6885681152344,222.77072143554688,376.7887268066406,183.36155700683594,151.97311401367188,215.81483459472656,104.88163757324219,64.28568267822266,120.36617279052734
2021-07-02,137.2979278564453,269.6207580566406,124.94810485839844,175.5489959716797,20.448284149169922,94.69999694824219,51.94189453125,132.8741455078125,353.6352844238281,593.0700073242188,297.7589416503906,225.6163330078125,381.00042724609375,183.258544921875,153.64671325683594,217.0784912109375,106.3243408203125,64.63610076904297,121.57957458496094
2021-07-06,139.31871032714844,269.6304931640625,125.87830352783203,183.78700256347656,20.659385681152344,94.47000122070312,51.328765869140625,131.57875061035156,351.7210388183594,596.9000244140625,294.58477783203125,224.58236694335938,380.9239807128906,182.35960388183594,154.0026092529297,216.26083374023438,107.02717590332031,64.52243041992188,121.8395767211914
2021-07-07,141.82025146484375,271.8348693847656,126.1615982055664,184.82899475097656,20.333255767822266,90.54000091552734,51.209800720214844,130.44180297851562,349.4378662109375,605.77001953125,298.47857666015625,226.50384521484375,386.4822692871094,183.41773986816406,154.05068969726562,218.00765991210938,108.33114624023438,64.06787109375,119.49945068359375
2021-07-08,140.5155487060547,269.3974609375,124.7351303100586,186.57049560546875,19.865137100219727,89.73999786376953,50.68819808959961,128.8761444091797,344.6123962402344,605.9500122070312,293.9205017089844,227.44627380371094,388.84124755859375,180.53367614746094,154.5027618408203,216.34445190429688,107.26763153076172,63.329166412353516,117.16899108886719
2021-07-09,142.3499298095703,269.90240478515625,125.20846557617188,185.9669952392578,20.012357711791992,90.9000015258789,51.23725891113281,131.80239868164062,349.36810302734375,604.5,297.1960754394531,227.44627380371094,393.8265075683594,182.9027099609375,154.85867309570312,218.98326110839844,108.6363296508789,64.74026489257812,120.15430450439453
2021-07-12,141.75155639648438,269.3003234863281,126.661865234375,185.92750549316406,20.47373390197754,90.80999755859375,51.9144401550293,132.77163696289062,352.0998840332031,600.2000122070312,296.8731384277344,230.7951202392578,389.5384216308594,183.12745666503906,155.64736938476562,218.91819763183594,109.5518798828125,64.6076889038086,119.50908660888672
2021-07-13,142.86990356445312,272.85455322265625,127.0269546508789,183.8679962158203,20.211732864379883,90.26000213623047,52.04254913330078,131.5694122314453,351.0330810546875,605.010009765625,292.54559326171875,230.34677124023438,388.7552185058594,181.91952514648438,155.42616271972656,219.43853759765625,110.55992889404297,64.05838775634766,118.13199615478516
2021-07-14,146.31312561035156,274.3402099609375,127.92024993896484,184.08399963378906,19.804004669189453,89.05000305175781,51.722267150878906,133.96450805664062,346.5864562988281,608.8300170898438,294.5478820800781,232.06695556640625,391.5154113769531,180.4775390625,155.3780517578125,220.3305206298828,110.7911148071289,65.00544738769531,120.2698745727539
2021-07-15,145.65585327148438,272.90301513671875,126.69129180908203,181.55999755859375,18.930404663085938,86.93000030517578,51.07253646850586,131.83038330078125,343.42596435546875,606.1699829101562,297.7681579589844,231.42645263671875,393.30126953125,183.29598999023438,155.52232360839844,220.0982208251953,110.02352905273438,64.46561431884766,119.1239013671875
