Date,AAPL,MSFT,GOOGL,AMZN,NVDA,AMD,INTC,QCOM,META,ADBE,HD,TGT,COST,LOW,NKE,MCD,SBUX,TJX,ROST
2020-01-02,72.7960205078125,153.63072204589844,68.26496124267578,94.90049743652344,5.9731221199035645,49.099998474121094,53.66646194458008,79.79972839355469,209.1502685546875,334.42999267578125,195.7515106201172,112.29936981201172,267.88812255859375,110.11981201171875,96.98035430908203,179.91693115234375,80.29844665527344,57.788978576660156,111.6349868774414
2020-01-03,72.08829498291016,151.7176971435547,67.90785217285156,93.74849700927734,5.877516746520996,48.599998474121094,53.01372528076172,78.2971420288086,208.04360961914062,331.80999755859375,195.10098266601562,111.13245391845703,268.10870361328125,109.33363342285156,96.71466064453125,179.2807159423828,79.83113098144531,57.35812759399414,111.66364288330078
2020-01-06,72.6626968383789,152.10989379882812,69.71786499023438,95.14399719238281,5.90216588973999,48.38999938964844,52.863765716552734,77.83827209472656,211.96180725097656,333.7099914550781,196.01885986328125,110.08137512207031,268.1822814941406,110.01924896240234,96.62925720214844,181.29681396484375,79.20203399658203,57.72340393066406,112.20829772949219
2020-01-07,72.32096862792969,150.72300720214844,69.58320617675781,95.34300231933594,5.973621368408203,48.25,51.98167037963867,80.05168151855469,212.42041015625,333.3900146484375,194.73561096191406,110.27733612060547,267.7594909667969,109.3610610961914,96.58179473876953,181.5656280517578,78.95939636230469,57.685943603515625,113.51740264892578
2020-01-08,73.4843521118164,153.12374877929688,70.07847595214844,94.59850311279297,5.984825134277344,47.83000183105469,52.01695251464844,79.81774139404297,214.57394409179688,337.8699951171875,197.64964294433594,109.92102813720703,270.8290100097656,111.09796142578125,96.36355590820312,184.50465393066406,79.87606048583984,57.99502944946289,113.85181427001953
2020-01-09,75.04521942138672,155.03671264648438,70.81414794921875,95.05249786376953,6.050552845001221,48.970001220703125,52.308040618896484,80.8974609375,217.6446990966797,340.45001220703125,200.6796112060547,110.01009368896484,275.1760559082031,111.57333374023438,96.2971420288086,186.69100952148438,81.35891723632812,58.66939163208008,116.6993179321289
2020-01-10,75.21487426757812,154.31935119628906,71.27152252197266,94.15799713134766,6.082919120788574,48.16999816894531,51.9904899597168,81.21236419677734,217.40541076660156,339.80999755859375,199.81521606445312,111.10572814941406,273.1726379394531,110.61347198486328,95.74674224853516,185.72328186035156,81.0263900756836,58.38840866088867,115.35202026367188
2020-01-13,76.82178497314453,156.17494201660156,71.82366180419922,94.56500244140625,6.273633003234863,48.75,52.5638542175293,81.85120391845703,221.24386596679688,345.6300048828125,199.03094482421875,110.33968353271484,275.5895690917969,110.65916442871094,96.9424057006836,185.0423126220703,81.85319519042969,58.55699920654297,114.6353530883789
2020-01-14,75.78445434570312,155.0750274658203,71.35282135009766,93.47200012207031,6.156615257263184,48.209999084472656,52.4227180480957,81.48229217529297,218.40240478515625,344.6300048828125,198.55862426757812,111.57784271240234,275.47930908203125,109.76329040527344,97.66358947753906,185.76808166503906,81.77232360839844,58.74431610107422,113.67028045654297
2020-01-15,75.45968627929688,156.0792694091797,71.78225708007812,93.10099792480469,6.114041805267334,48.54999923706055,51.9904899597168,80.68150329589844,220.4861297607422,342.94000244140625,200.14491271972656,104.2200927734375,276.46270751953125,109.26050567626953,97.54024505615234,187.9634246826172,82.26660919189453,57.88263702392578,112.53317260742188
2020-01-16,76.4049072265625,158.9391632080078,72.32891082763672,93.89700317382812,6.197696208953857,49.77000045776367,52.6255989074707,82.58899688720703,221.1042938232422,345.3800048828125,203.9145050048828,103.61436462402344,278.4937744140625,109.03197479248047,98.0905990600586,188.93109130859375,83.20124816894531,58.828609466552734,112.80075073242188
2020-01-17,77.25078582763672,159.82872009277344,73.79327392578125,93.23600006103516,6.206410884857178,50.93000030517578,52.572669982910156,86.29601287841797,221.47317504882812,349.739990234375,206.66822814941406,104.1488037109375,280.0101318359375,111.85671997070312,99.19136047363281,189.94366455078125,84.1358871459961,58.706851959228516,112.44718170166016
2020-01-21,76.7272720336914,159.25482177734375,73.929443359375,94.5999984741211,6.173048973083496,51.04999923706055,53.41065979003906,85.06333923339844,220.7752685546875,350.0,207.594970703125,101.58341217041016,287.8954772949219,111.04862213134766,99.23880004882812,189.20889282226562,83.15629577636719,58.35094451904297,112.56185150146484
2020-01-22,77.00114440917969,158.48963928222656,74.01023864746094,94.37300109863281,6.22707462310791,51.43000030517578,55.3336181640625,83.65071868896484,220.6556396484375,350.05999755859375,207.55044555664062,101.45867919921875,286.6363830566406,111.94853210449219,99.15341186523438,189.4597930908203,83.15629577636719,58.47269821166992,112.18917083740234
2020-01-23,77.37195587158203,159.4652557373047,74.05113220214844,94.22899627685547,6.2955427169799805,51.709999084472656,55.85406494140625,82.77796173095703,219.10031127929688,351.760009765625,208.2187957763672,102.91065979003906,287.54620361328125,112.68318939208984,97.75848388671875,191.2339630126953,84.2527084350586,58.49142837524414,112.95362091064453
2020-01-24,77.14897918701172,157.85836791992188,73.12742614746094,93.08200073242188,6.236288070678711,50.349998474121094,60.39684295654297,80.66351318359375,217.28578186035156,351.3699951171875,206.74838256835938,101.83282470703125,285.3681640625,110.40582275390625,96.81904602050781,189.2805938720703,82.70696258544922,57.31129837036133,110.61255645751953
2020-01-27,74.88040924072266,155.2184600830078,71.40968322753906,91.41699981689453,5.980342388153076,49.2599983215332,57.944610595703125,78.32414245605469,214.22499084472656,346.8999938964844,206.02655029296875,103.13334655761719,284.39398193359375,109.97422790527344,95.12047576904297,187.5780792236328,79.74127197265625,57.067779541015625,109.7430191040039
